"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2017/01/01","00:00","2.891","-","2.858"
"2017/01/01","00:06","2.914","-","2.887"
"2017/01/01","00:12","2.936","-","2.911"
"2017/01/01","00:18","2.957","-","2.935"
"2017/01/01","00:24","2.976","-","2.968"
"2017/01/01","00:30","2.994","-","2.986"
"2017/01/01","00:36","3.011","-","3.003"
"2017/01/01","00:42","3.025","-","3.024"
"2017/01/01","00:48","3.038","-","3.045"
"2017/01/01","00:54","3.049","-","3.064"
"2017/01/01","01:00","3.058","-","3.07"
"2017/01/01","01:06","3.064","-","3.092"
"2017/01/01","01:12","3.069","-","3.095"
"2017/01/01","01:18","3.071","-","3.101"
"2017/01/01","01:24","3.07","-","3.104"
"2017/01/01","01:30","3.068","-","3.111"
"2017/01/01","01:36","3.062","-","3.112"
"2017/01/01","01:42","3.054","-","3.111"
"2017/01/01","01:48","3.044","-","3.107"
"2017/01/01","01:54","3.03","-","3.093"
"2017/01/01","02:00","3.014","-","3.077"
"2017/01/01","02:06","2.995","-","3.06"
"2017/01/01","02:12","2.974","-","3.043"
"2017/01/01","02:18","2.949","-","3.018"
"2017/01/01","02:24","2.922","-","2.997"
"2017/01/01","02:30","2.892","-","2.972"
"2017/01/01","02:36","2.859","-","2.947"
"2017/01/01","02:42","2.823","-","2.91"
"2017/01/01","02:48","2.785","-","2.883"
"2017/01/01","02:54","2.744","-","2.831"
"2017/01/01","03:00","2.7","-","2.793"
"2017/01/01","03:06","2.654","-","2.753"
"2017/01/01","03:12","2.605","-","2.711"
"2017/01/01","03:18","2.554","-","2.657"
"2017/01/01","03:24","2.501","-","2.611"
"2017/01/01","03:30","2.446","-","2.561"
"2017/01/01","03:36","2.388","-","2.508"
"2017/01/01","03:42","2.328","-","2.451"
"2017/01/01","03:48","2.266","-","2.399"
"2017/01/01","03:54","2.203","-","2.339"
"2017/01/01","04:00","2.137","-","2.274"
"2017/01/01","04:06","2.07","-","2.214"
"2017/01/01","04:12","2.002","-","2.147"
"2017/01/01","04:18","1.932","-","2.074"
"2017/01/01","04:24","1.861","-","2.011"
"2017/01/01","04:30","1.788","-","1.943"
"2017/01/01","04:36","1.714","-","1.868"
"2017/01/01","04:42","1.64","-","1.79"
"2017/01/01","04:48","1.564","-","1.71"
"2017/01/01","04:54","1.488","-","1.634"
"2017/01/01","05:00","1.411","-","1.548"
"2017/01/01","05:06","1.334","-","1.475"
"2017/01/01","05:12","1.256","-","1.394"
"2017/01/01","05:18","1.178","-","1.306"
"2017/01/01","05:24","1.1","-","1.224"
"2017/01/01","05:30","1.022","-","1.142"
"2017/01/01","05:36","0.945","-","1.06"
"2017/01/01","05:42","0.867","-","0.984"
"2017/01/01","05:48","0.791","-","0.897"
"2017/01/01","05:54","0.715","-","0.82"
"2017/01/01","06:00","0.64","-","0.743"
"2017/01/01","06:06","0.566","-","0.662"
"2017/01/01","06:12","0.494","-","0.576"
"2017/01/01","06:18","0.423","-","0.517"
"2017/01/01","06:24","0.354","-","0.445"
"2017/01/01","06:30","0.287","-","0.37"
"2017/01/01","06:36","0.222","-","0.312"
"2017/01/01","06:42","0.159","-","0.249"
"2017/01/01","06:48","0.099","-","0.187"
"2017/01/01","06:54","0.042","-","0.128"
"2017/01/01","07:00","-0.013","-","0.08"
"2017/01/01","07:06","-0.064","-","0.034"
"2017/01/01","07:12","-0.111","-","-0.012"
"2017/01/01","07:18","-0.156","-","-0.053"
"2017/01/01","07:24","-0.196","-","-0.089"
"2017/01/01","07:30","-0.232","-","-0.116"
"2017/01/01","07:36","-0.265","-","-0.145"
"2017/01/01","07:42","-0.293","-","-0.172"
"2017/01/01","07:48","-0.317","-","-0.189"
"2017/01/01","07:54","-0.336","-","-0.205"
"2017/01/01","08:00","-0.351","-","-0.221"
"2017/01/01","08:06","-0.362","-","-0.226"
"2017/01/01","08:12","-0.367","-","-0.233"
"2017/01/01","08:18","-0.368","-","-0.234"
"2017/01/01","08:24","-0.364","-","-0.227"
"2017/01/01","08:30","-0.356","-","-0.212"
"2017/01/01","08:36","-0.342","-","-0.192"
"2017/01/01","08:42","-0.324","-","-0.169"
"2017/01/01","08:48","-0.302","-","-0.145"
"2017/01/01","08:54","-0.275","-","-0.114"
"2017/01/01","09:00","-0.243","-","-0.08"
"2017/01/01","09:06","-0.207","-","-0.043"
"2017/01/01","09:12","-0.167","-","-0.005"
"2017/01/01","09:18","-0.122","-","0.034"
"2017/01/01","09:24","-0.074","-","0.085"
"2017/01/01","09:30","-0.021","-","0.135"
"2017/01/01","09:36","0.034","-","0.185"
"2017/01/01","09:42","0.094","-","0.239"
"2017/01/01","09:48","0.157","-","0.288"
"2017/01/01","09:54","0.223","-","0.347"
"2017/01/01","10:00","0.291","-","0.408"
"2017/01/01","10:06","0.363","-","0.468"
"2017/01/01","10:12","0.437","-","0.534"
"2017/01/01","10:18","0.514","-","0.602"
"2017/01/01","10:24","0.592","-","0.671"
"2017/01/01","10:30","0.673","-","0.749"
"2017/01/01","10:36","0.756","-","0.824"
"2017/01/01","10:42","0.84","-","0.899"
"2017/01/01","10:48","0.925","-","0.978"
"2017/01/01","10:54","1.012","-","1.059"
"2017/01/01","11:00","1.1","-","1.14"
"2017/01/01","11:06","1.188","-","1.225"
"2017/01/01","11:12","1.277","-","1.312"
"2017/01/01","11:18","1.367","-","1.404"
"2017/01/01","11:24","1.457","-","1.494"
"2017/01/01","11:30","1.548","-","1.579"
"2017/01/01","11:36","1.638","-","1.667"
"2017/01/01","11:42","1.728","-","1.758"
"2017/01/01","11:48","1.818","-","1.85"
"2017/01/01","11:54","1.908","-","1.936"
"2017/01/01","12:00","1.997","-","2.02"
"2017/01/01","12:06","2.085","-","2.109"
"2017/01/01","12:12","2.172","-","2.189"
"2017/01/01","12:18","2.258","-","2.268"
"2017/01/01","12:24","2.344","-","2.356"
"2017/01/01","12:30","2.427","-","2.442"
"2017/01/01","12:36","2.509","-","2.524"
"2017/01/01","12:42","2.59","-","2.604"
"2017/01/01","12:48","2.669","-","2.681"
"2017/01/01","12:54","2.746","-","2.743"
"2017/01/01","13:00","2.821","-","2.811"
"2017/01/01","13:06","2.894","-","2.884"
"2017/01/01","13:12","2.964","-","2.95"
"2017/01/01","13:18","3.032","-","3.01"
"2017/01/01","13:24","3.098","-","3.076"
"2017/01/01","13:30","3.161","-","3.133"
"2017/01/01","13:36","3.221","-","3.188"
"2017/01/01","13:42","3.279","-","3.241"
"2017/01/01","13:48","3.334","-","3.284"
"2017/01/01","13:54","3.385","-","3.326"
"2017/01/01","14:00","3.434","-","3.38"
"2017/01/01","14:06","3.48","-","3.417"
"2017/01/01","14:12","3.522","-","3.456"
"2017/01/01","14:18","3.561","-","3.494"
"2017/01/01","14:24","3.597","-","3.522"
"2017/01/01","14:30","3.63","-","3.545"
"2017/01/01","14:36","3.66","-","3.583"
"2017/01/01","14:42","3.686","-","3.614"
"2017/01/01","14:48","3.709","-","3.638"
"2017/01/01","14:54","3.729","-","3.658"
"2017/01/01","15:00","3.746","-","3.673"
"2017/01/01","15:06","3.76","-","3.69"
"2017/01/01","15:12","3.77","-","3.694"
"2017/01/01","15:18","3.778","-","3.702"
"2017/01/01","15:24","3.783","-","3.717"
"2017/01/01","15:30","3.784","-","3.719"
"2017/01/01","15:36","3.783","-","3.722"
"2017/01/01","15:42","3.779","-","3.725"
"2017/01/01","15:48","3.773","-","3.713"
"2017/01/01","15:54","3.764","-","3.706"
"2017/01/01","16:00","3.752","-","3.694"
"2017/01/01","16:06","3.738","-","3.68"
"2017/01/01","16:12","3.721","-","3.668"
"2017/01/01","16:18","3.702","-","3.654"
"2017/01/01","16:24","3.681","-","3.632"
"2017/01/01","16:30","3.658","-","3.614"
"2017/01/01","16:36","3.633","-","3.595"
"2017/01/01","16:42","3.606","-","3.568"
"2017/01/01","16:48","3.577","-","3.548"
"2017/01/01","16:54","3.546","-","3.522"
"2017/01/01","17:00","3.514","-","3.495"
"2017/01/01","17:06","3.48","-","3.473"
"2017/01/01","17:12","3.444","-","3.44"
"2017/01/01","17:18","3.407","-","3.405"
"2017/01/01","17:24","3.369","-","3.378"
"2017/01/01","17:30","3.329","-","3.348"
"2017/01/01","17:36","3.288","-","3.315"
"2017/01/01","17:42","3.246","-","3.278"
"2017/01/01","17:48","3.203","-","3.24"
"2017/01/01","17:54","3.159","-","3.2"
"2017/01/01","18:00","3.114","-","3.159"
"2017/01/01","18:06","3.068","-","3.12"
"2017/01/01","18:12","3.022","-","3.076"
"2017/01/01","18:18","2.975","-","3.032"
"2017/01/01","18:24","2.928","-","2.99"
"2017/01/01","18:30","2.881","-","2.94"
"2017/01/01","18:36","2.833","-","2.895"
"2017/01/01","18:42","2.786","-","2.847"
"2017/01/01","18:48","2.739","-","2.796"
"2017/01/01","18:54","2.692","-","2.749"
"2017/01/01","19:00","2.646","-","2.699"
"2017/01/01","19:06","2.6","-","2.649"
"2017/01/01","19:12","2.555","-","2.602"
"2017/01/01","19:18","2.511","-","2.553"
"2017/01/01","19:24","2.468","-","2.505"
"2017/01/01","19:30","2.427","-","2.46"
"2017/01/01","19:36","2.387","-","2.418"
"2017/01/01","19:42","2.348","-","2.377"
"2017/01/01","19:48","2.312","-","2.334"
"2017/01/01","19:54","2.277","-","2.296"
"2017/01/01","20:00","2.244","-","2.26"
"2017/01/01","20:06","2.213","-","2.22"
"2017/01/01","20:12","2.184","-","2.19"
"2017/01/01","20:18","2.158","-","2.163"
"2017/01/01","20:24","2.134","-","2.14"
"2017/01/01","20:30","2.113","-","2.117"
"2017/01/01","20:36","2.094","-","2.095"
"2017/01/01","20:42","2.078","-","2.077"
"2017/01/01","20:48","2.064","-","2.06"
"2017/01/01","20:54","2.053","-","2.046"
"2017/01/01","21:00","2.044","-","2.037"
"2017/01/01","21:06","2.038","-","2.027"
"2017/01/01","21:12","2.035","-","2.026"
"2017/01/01","21:18","2.034","-","2.019"
"2017/01/01","21:24","2.035","-","2.02"
"2017/01/01","21:30","2.039","-","2.025"
"2017/01/01","21:36","2.046","-","2.032"
"2017/01/01","21:42","2.054","-","2.037"
"2017/01/01","21:48","2.065","-","2.05"
"2017/01/01","21:54","2.077","-","2.062"
"2017/01/01","22:00","2.092","-","2.075"
"2017/01/01","22:06","2.109","-","2.091"
"2017/01/01","22:12","2.127","-","2.107"
"2017/01/01","22:18","2.146","-","2.127"
"2017/01/01","22:24","2.168","-","2.146"
"2017/01/01","22:30","2.19","-","2.171"
"2017/01/01","22:36","2.214","-","2.195"
"2017/01/01","22:42","2.239","-","2.219"
"2017/01/01","22:48","2.265","-","2.241"
"2017/01/01","22:54","2.291","-","2.268"
"2017/01/01","23:00","2.319","-","2.291"
"2017/01/01","23:06","2.347","-","2.314"
"2017/01/01","23:12","2.375","-","2.34"
"2017/01/01","23:18","2.404","-","2.366"
"2017/01/01","23:24","2.433","-","2.392"
"2017/01/01","23:30","2.463","-","2.415"
"2017/01/01","23:36","2.492","-","2.446"
"2017/01/01","23:42","2.521","-","2.476"
"2017/01/01","23:48","2.551","-","2.505"
"2017/01/01","23:54","2.58","-","2.532"
"2017/01/02","00:00","2.609","-","2.563"
"2017/01/02","00:06","2.637","-","2.59"
"2017/01/02","00:12","2.665","-","2.614"
"2017/01/02","00:18","2.692","-","2.644"
"2017/01/02","00:24","2.719","-","2.671"
"2017/01/02","00:30","2.745","-","2.7"
"2017/01/02","00:36","2.77","-","2.727"
"2017/01/02","00:42","2.794","-","2.758"
"2017/01/02","00:48","2.817","-","2.78"
"2017/01/02","00:54","2.839","-","2.806"
"2017/01/02","01:00","2.86","-","2.829"
"2017/01/02","01:06","2.879","-","2.856"
"2017/01/02","01:12","2.897","-","2.871"
"2017/01/02","01:18","2.914","-","2.892"
"2017/01/02","01:24","2.929","-","2.912"
"2017/01/02","01:30","2.942","-","2.928"
"2017/01/02","01:36","2.953","-","2.946"
"2017/01/02","01:42","2.962","-","2.957"
"2017/01/02","01:48","2.969","-","2.967"
"2017/01/02","01:54","2.975","-","2.975"
"2017/01/02","02:00","2.978","-","2.984"
"2017/01/02","02:06","2.978","-","2.984"
"2017/01/02","02:12","2.977","-","2.983"
"2017/01/02","02:18","2.972","-","2.983"
"2017/01/02","02:24","2.966","-","2.977"
"2017/01/02","02:30","2.957","-","2.965"
"2017/01/02","02:36","2.945","-","2.957"
"2017/01/02","02:42","2.93","-","2.941"
"2017/01/02","02:48","2.913","-","2.922"
"2017/01/02","02:54","2.893","-","2.901"
"2017/01/02","03:00","2.871","-","2.88"
"2017/01/02","03:06","2.846","-","2.853"
"2017/01/02","03:12","2.818","-","2.823"
"2017/01/02","03:18","2.787","-","2.794"
"2017/01/02","03:24","2.754","-","2.76"
"2017/01/02","03:30","2.718","-","2.721"
"2017/01/02","03:36","2.68","-","2.683"
"2017/01/02","03:42","2.639","-","2.638"
"2017/01/02","03:48","2.595","-","2.596"
"2017/01/02","03:54","2.549","-","2.554"
"2017/01/02","04:00","2.501","-","2.509"
"2017/01/02","04:06","2.451","-","2.458"
"2017/01/02","04:12","2.398","-","2.404"
"2017/01/02","04:18","2.344","-","2.349"
"2017/01/02","04:24","2.287","-","2.292"
"2017/01/02","04:30","2.229","-","2.231"
"2017/01/02","04:36","2.169","-","2.173"
"2017/01/02","04:42","2.107","-","2.109"
"2017/01/02","04:48","2.044","-","2.045"
"2017/01/02","04:54","1.979","-","1.975"
"2017/01/02","05:00","1.913","-","1.906"
"2017/01/02","05:06","1.845","-","1.832"
"2017/01/02","05:12","1.777","-","1.757"
"2017/01/02","05:18","1.707","-","1.684"
"2017/01/02","05:24","1.637","-","1.608"
"2017/01/02","05:30","1.566","-","1.53"
"2017/01/02","05:36","1.494","-","1.449"
"2017/01/02","05:42","1.422","-","1.37"
"2017/01/02","05:48","1.349","-","1.29"
"2017/01/02","05:54","1.276","-","1.207"
"2017/01/02","06:00","1.203","-","1.128"
"2017/01/02","06:06","1.13","-","1.051"
"2017/01/02","06:12","1.057","-","0.973"
"2017/01/02","06:18","0.984","-","0.895"
"2017/01/02","06:24","0.912","-","0.818"
"2017/01/02","06:30","0.84","-","0.746"
"2017/01/02","06:36","0.77","-","0.671"
"2017/01/02","06:42","0.7","-","0.599"
"2017/01/02","06:48","0.631","-","0.527"
"2017/01/02","06:54","0.564","-","0.456"
"2017/01/02","07:00","0.498","-","0.389"
"2017/01/02","07:06","0.433","-","0.32"
"2017/01/02","07:12","0.371","-","0.26"
"2017/01/02","07:18","0.31","-","0.205"
"2017/01/02","07:24","0.252","-","0.153"
"2017/01/02","07:30","0.197","-","0.104"
"2017/01/02","07:36","0.144","-","0.059"
"2017/01/02","07:42","0.093","-","0.019"
"2017/01/02","07:48","0.046","-","-0.022"
"2017/01/02","07:54","0.002","-","-0.056"
"2017/01/02","08:00","-0.038","-","-0.086"
"2017/01/02","08:06","-0.075","-","-0.113"
"2017/01/02","08:12","-0.109","-","-0.136"
"2017/01/02","08:18","-0.138","-","-0.158"
"2017/01/02","08:24","-0.164","-","-0.173"
"2017/01/02","08:30","-0.185","-","-0.184"
"2017/01/02","08:36","-0.202","-","-0.202"
"2017/01/02","08:42","-0.215","-","-0.204"
"2017/01/02","08:48","-0.223","-","-0.198"
"2017/01/02","08:54","-0.227","-","-0.2"
"2017/01/02","09:00","-0.226","-","-0.193"
"2017/01/02","09:06","-0.221","-","-0.174"
"2017/01/02","09:12","-0.211","-","-0.159"
"2017/01/02","09:18","-0.197","-","-0.14"
"2017/01/02","09:24","-0.178","-","-0.112"
"2017/01/02","09:30","-0.155","-","-0.08"
"2017/01/02","09:36","-0.127","-","-0.048"
"2017/01/02","09:42","-0.095","-","-0.009"
"2017/01/02","09:48","-0.058","-","0.033"
"2017/01/02","09:54","-0.018","-","0.076"
"2017/01/02","10:00","0.027","-","0.123"
"2017/01/02","10:06","0.076","-","0.172"
"2017/01/02","10:12","0.128","-","0.23"
"2017/01/02","10:18","0.184","-","0.281"
"2017/01/02","10:24","0.243","-","0.337"
"2017/01/02","10:30","0.305","-","0.394"
"2017/01/02","10:36","0.371","-","0.453"
"2017/01/02","10:42","0.439","-","0.518"
"2017/01/02","10:48","0.51","-","0.584"
"2017/01/02","10:54","0.583","-","0.65"
"2017/01/02","11:00","0.659","-","0.722"
"2017/01/02","11:06","0.737","-","0.799"
"2017/01/02","11:12","0.816","-","0.872"
"2017/01/02","11:18","0.898","-","0.952"
"2017/01/02","11:24","0.981","-","1.033"
"2017/01/02","11:30","1.065","-","1.116"
"2017/01/02","11:36","1.15","-","1.202"
"2017/01/02","11:42","1.236","-","1.284"
"2017/01/02","11:48","1.323","-","1.372"
"2017/01/02","11:54","1.411","-","1.457"
"2017/01/02","12:00","1.499","-","1.546"
"2017/01/02","12:06","1.587","-","1.635"
"2017/01/02","12:12","1.675","-","1.723"
"2017/01/02","12:18","1.763","-","1.807"
"2017/01/02","12:24","1.851","-","1.896"
"2017/01/02","12:30","1.939","-","1.983"
"2017/01/02","12:36","2.026","-","2.064"
"2017/01/02","12:42","2.113","-","2.147"
"2017/01/02","12:48","2.198","-","2.228"
"2017/01/02","12:54","2.283","-","2.309"
"2017/01/02","13:00","2.367","-","2.396"
"2017/01/02","13:06","2.449","-","2.477"
"2017/01/02","13:12","2.53","-","2.553"
"2017/01/02","13:18","2.61","-","2.631"
"2017/01/02","13:24","2.688","-","2.705"
"2017/01/02","13:30","2.764","-","2.777"
"2017/01/02","13:36","2.838","-","2.839"
"2017/01/02","13:42","2.911","-","2.903"
"2017/01/02","13:48","2.981","-","2.966"
"2017/01/02","13:54","3.049","-","3.022"
"2017/01/02","14:00","3.114","-","3.074"
"2017/01/02","14:06","3.178","-","3.129"
"2017/01/02","14:12","3.238","-","3.184"
"2017/01/02","14:18","3.296","-","3.231"
"2017/01/02","14:24","3.351","-","3.284"
"2017/01/02","14:30","3.403","-","3.327"
"2017/01/02","14:36","3.453","-","3.371"
"2017/01/02","14:42","3.499","-","3.405"
"2017/01/02","14:48","3.542","-","3.437"
"2017/01/02","14:54","3.582","-","3.469"
"2017/01/02","15:00","3.619","-","3.498"
"2017/01/02","15:06","3.652","-","3.526"
"2017/01/02","15:12","3.683","-","3.556"
"2017/01/02","15:18","3.71","-","3.576"
"2017/01/02","15:24","3.734","-","3.592"
"2017/01/02","15:30","3.754","-","3.607"
"2017/01/02","15:36","3.771","-","3.614"
"2017/01/02","15:42","3.785","-","3.623"
"2017/01/02","15:48","3.796","-","3.634"
"2017/01/02","15:54","3.804","-","3.639"
"2017/01/02","16:00","3.808","-","3.642"
"2017/01/02","16:06","3.81","-","3.642"
"2017/01/02","16:12","3.808","-","3.633"
"2017/01/02","16:18","3.804","-","3.632"
"2017/01/02","16:24","3.797","-","3.625"
"2017/01/02","16:30","3.787","-","3.613"
"2017/01/02","16:36","3.774","-","3.604"
"2017/01/02","16:42","3.758","-","3.594"
"2017/01/02","16:48","3.74","-","3.575"
"2017/01/02","16:54","3.72","-","3.554"
"2017/01/02","17:00","3.698","-","3.531"
"2017/01/02","17:06","3.673","-","3.51"
"2017/01/02","17:12","3.646","-","3.483"
"2017/01/02","17:18","3.616","-","3.456"
"2017/01/02","17:24","3.585","-","3.431"
"2017/01/02","17:30","3.552","-","3.403"
"2017/01/02","17:36","3.518","-","3.374"
"2017/01/02","17:42","3.481","-","3.344"
"2017/01/02","17:48","3.443","-","3.311"
"2017/01/02","17:54","3.404","-","3.276"
"2017/01/02","18:00","3.363","-","3.244"
"2017/01/02","18:06","3.32","-","3.209"
"2017/01/02","18:12","3.277","-","3.17"
"2017/01/02","18:18","3.232","-","3.13"
"2017/01/02","18:24","3.186","-","3.093"
"2017/01/02","18:30","3.139","-","3.05"
"2017/01/02","18:36","3.092","-","3.009"
"2017/01/02","18:42","3.043","-","2.964"
"2017/01/02","18:48","2.994","-","2.916"
"2017/01/02","18:54","2.945","-","2.868"
"2017/01/02","19:00","2.895","-","2.819"
"2017/01/02","19:06","2.844","-","2.77"
"2017/01/02","19:12","2.794","-","2.719"
"2017/01/02","19:18","2.743","-","2.667"
"2017/01/02","19:24","2.693","-","2.615"
"2017/01/02","19:30","2.643","-","2.562"
"2017/01/02","19:36","2.593","-","2.516"
"2017/01/02","19:42","2.544","-","2.464"
"2017/01/02","19:48","2.495","-","2.413"
"2017/01/02","19:54","2.447","-","2.362"
"2017/01/02","20:00","2.401","-","2.316"
"2017/01/02","20:06","2.355","-","2.263"
"2017/01/02","20:12","2.311","-","2.217"
"2017/01/02","20:18","2.268","-","2.174"
"2017/01/02","20:24","2.227","-","2.133"
"2017/01/02","20:30","2.187","-","2.091"
"2017/01/02","20:36","2.15","-","2.051"
"2017/01/02","20:42","2.114","-","2.017"
"2017/01/02","20:48","2.081","-","1.982"
"2017/01/02","20:54","2.05","-","1.953"
"2017/01/02","21:00","2.021","-","1.919"
"2017/01/02","21:06","1.994","-","1.892"
"2017/01/02","21:12","1.971","-","1.869"
"2017/01/02","21:18","1.949","-","1.849"
"2017/01/02","21:24","1.931","-","1.825"
"2017/01/02","21:30","1.915","-","1.812"
"2017/01/02","21:36","1.901","-","1.802"
"2017/01/02","21:42","1.891","-","1.793"
"2017/01/02","21:48","1.883","-","1.785"
"2017/01/02","21:54","1.878","-","1.783"
"2017/01/02","22:00","1.875","-","1.782"
"2017/01/02","22:06","1.875","-","1.782"
"2017/01/02","22:12","1.877","-","1.784"
"2017/01/02","22:18","1.882","-","1.789"
"2017/01/02","22:24","1.89","-","1.798"
"2017/01/02","22:30","1.899","-","1.808"
"2017/01/02","22:36","1.911","-","1.825"
"2017/01/02","22:42","1.925","-","1.832"
"2017/01/02","22:48","1.941","-","1.849"
"2017/01/02","22:54","1.958","-","1.866"
"2017/01/02","23:00","1.977","-","1.888"
"2017/01/02","23:06","1.998","-","1.905"
"2017/01/02","23:12","2.021","-","1.929"
"2017/01/02","23:18","2.044","-","1.949"
"2017/01/02","23:24","2.069","-","1.97"
"2017/01/02","23:30","2.095","-","1.993"
"2017/01/02","23:36","2.122","-","2.016"
"2017/01/02","23:42","2.15","-","2.042"
"2017/01/02","23:48","2.178","-","2.07"
"2017/01/02","23:54","2.207","-","2.094"
"2017/01/03","00:00","2.236","-","2.118"
"2017/01/03","00:06","2.266","-","2.147"
"2017/01/03","00:12","2.296","-","2.172"
"2017/01/03","00:18","2.326","-","2.201"
"2017/01/03","00:24","2.356","-","2.23"
"2017/01/03","00:30","2.386","-","2.258"
"2017/01/03","00:36","2.415","-","2.29"
"2017/01/03","00:42","2.445","-","2.317"
"2017/01/03","00:48","2.474","-","2.346"
"2017/01/03","00:54","2.503","-","2.377"
"2017/01/03","01:00","2.531","-","2.405"
"2017/01/03","01:06","2.559","-","2.435"
"2017/01/03","01:12","2.586","-","2.462"
"2017/01/03","01:18","2.612","-","2.493"
"2017/01/03","01:24","2.637","-","2.52"
"2017/01/03","01:30","2.662","-","2.547"
"2017/01/03","01:36","2.685","-","2.575"
"2017/01/03","01:42","2.707","-","2.603"
"2017/01/03","01:48","2.728","-","2.623"
"2017/01/03","01:54","2.748","-","2.649"
"2017/01/03","02:00","2.766","-","2.673"
"2017/01/03","02:06","2.783","-","2.696"
"2017/01/03","02:12","2.799","-","2.708"
"2017/01/03","02:18","2.812","-","2.728"
"2017/01/03","02:24","2.824","-","2.745"
"2017/01/03","02:30","2.834","-","2.755"
"2017/01/03","02:36","2.842","-","2.766"
"2017/01/03","02:42","2.848","-","2.772"
"2017/01/03","02:48","2.852","-","2.781"
"2017/01/03","02:54","2.853","-","2.781"
"2017/01/03","03:00","2.853","-","2.784"
"2017/01/03","03:06","2.85","-","2.78"
"2017/01/03","03:12","2.845","-","2.771"
"2017/01/03","03:18","2.837","-","2.76"
"2017/01/03","03:24","2.827","-","2.747"
"2017/01/03","03:30","2.814","-","2.732"
"2017/01/03","03:36","2.799","-","2.717"
"2017/01/03","03:42","2.781","-","2.699"
"2017/01/03","03:48","2.761","-","2.674"
"2017/01/03","03:54","2.738","-","2.653"
"2017/01/03","04:00","2.713","-","2.627"
"2017/01/03","04:06","2.685","-","2.595"
"2017/01/03","04:12","2.654","-","2.567"
"2017/01/03","04:18","2.621","-","2.535"
"2017/01/03","04:24","2.586","-","2.499"
"2017/01/03","04:30","2.548","-","2.461"
"2017/01/03","04:36","2.508","-","2.423"
"2017/01/03","04:42","2.466","-","2.38"
"2017/01/03","04:48","2.422","-","2.328"
"2017/01/03","04:54","2.375","-","2.286"
"2017/01/03","05:00","2.327","-","2.239"
"2017/01/03","05:06","2.277","-","2.192"
"2017/01/03","05:12","2.225","-","2.145"
"2017/01/03","05:18","2.171","-","2.092"
"2017/01/03","05:24","2.116","-","2.038"
"2017/01/03","05:30","2.059","-","1.979"
"2017/01/03","05:36","2.001","-","1.919"
"2017/01/03","05:42","1.942","-","1.86"
"2017/01/03","05:48","1.881","-","1.797"
"2017/01/03","05:54","1.82","-","1.732"
"2017/01/03","06:00","1.757","-","1.663"
"2017/01/03","06:06","1.694","-","1.593"
"2017/01/03","06:12","1.63","-","1.523"
"2017/01/03","06:18","1.565","-","1.451"
"2017/01/03","06:24","1.5","-","1.381"
"2017/01/03","06:30","1.435","-","1.308"
"2017/01/03","06:36","1.369","-","1.238"
"2017/01/03","06:42","1.303","-","1.171"
"2017/01/03","06:48","1.238","-","1.092"
"2017/01/03","06:54","1.172","-","1.022"
"2017/01/03","07:00","1.106","-","0.957"
"2017/01/03","07:06","1.041","-","0.882"
"2017/01/03","07:12","0.977","-","0.812"
"2017/01/03","07:18","0.913","-","0.749"
"2017/01/03","07:24","0.85","-","0.682"
"2017/01/03","07:30","0.788","-","0.618"
"2017/01/03","07:36","0.727","-","0.553"
"2017/01/03","07:42","0.668","-","0.495"
"2017/01/03","07:48","0.61","-","0.433"
"2017/01/03","07:54","0.554","-","0.375"
"2017/01/03","08:00","0.499","-","0.323"
"2017/01/03","08:06","0.446","-","0.271"
"2017/01/03","08:12","0.396","-","0.221"
"2017/01/03","08:18","0.348","-","0.175"
"2017/01/03","08:24","0.302","-","0.135"
"2017/01/03","08:30","0.26","-","0.099"
"2017/01/03","08:36","0.22","-","0.064"
"2017/01/03","08:42","0.183","-","0.035"
"2017/01/03","08:48","0.149","-","0.007"
"2017/01/03","08:54","0.118","-","-0.011"
"2017/01/03","09:00","0.091","-","-0.034"
"2017/01/03","09:06","0.068","-","-0.05"
"2017/01/03","09:12","0.049","-","-0.063"
"2017/01/03","09:18","0.033","-","-0.07"
"2017/01/03","09:24","0.021","-","-0.07"
"2017/01/03","09:30","0.014","-","-0.074"
"2017/01/03","09:36","0.01","-","-0.064"
"2017/01/03","09:42","0.011","-","-0.053"
"2017/01/03","09:48","0.016","-","-0.041"
"2017/01/03","09:54","0.025","-","-0.021"
"2017/01/03","10:00","0.038","-","0.002"
"2017/01/03","10:06","0.056","-","0.031"
"2017/01/03","10:12","0.078","-","0.064"
"2017/01/03","10:18","0.104","-","0.099"
"2017/01/03","10:24","0.134","-","0.138"
"2017/01/03","10:30","0.168","-","0.174"
"2017/01/03","10:36","0.206","-","0.217"
"2017/01/03","10:42","0.248","-","0.266"
"2017/01/03","10:48","0.294","-","0.322"
"2017/01/03","10:54","0.343","-","0.369"
"2017/01/03","11:00","0.395","-","0.421"
"2017/01/03","11:06","0.451","-","0.479"
"2017/01/03","11:12","0.51","-","0.532"
"2017/01/03","11:18","0.572","-","0.59"
"2017/01/03","11:24","0.636","-","0.649"
"2017/01/03","11:30","0.703","-","0.711"
"2017/01/03","11:36","0.773","-","0.776"
"2017/01/03","11:42","0.844","-","0.845"
"2017/01/03","11:48","0.918","-","0.918"
"2017/01/03","11:54","0.993","-","0.991"
"2017/01/03","12:00","1.07","-","1.067"
"2017/01/03","12:06","1.149","-","1.143"
